Date,Time,Close,High,Low,Open,Volume
2016.06.23,06:00,1.13363,1.13452,1.13335,1.1345,1796
2016.06.23,07:00,1.13471,1.13482,1.1335,1.13362,2133
2016.06.23,08:00,1.13378,1.13491,1.13324,1.13468,6856
2016.06.23,09:00,1.13192,1.13427,1.13176,1.13379,6526
2016.06.23,10:00,1.13526,1.13545,1.13164,1.13191,7670
2016.06.23,11:00,1.13857,1.14001,1.13452,1.13539,12850
2016.06.23,12:00,1.13975,1.14211,1.13822,1.13857,15497
2016.06.23,13:00,1.13893,1.14097,1.13757,1.13976,10065
